wavelength,x_bar,y_bar,z_bar,power
360,0.0001299,3.917e-06,0.0006061,46.6383
361,0.000145847,4.393581e-06,0.0006808792,47.1834
362,0.0001638021,4.929604e-06,0.0007651456,47.7285
363,0.0001840037,5.532136e-06,0.0008600124,48.2735
364,0.0002066902,6.208245e-06,0.0009665928,48.8186
365,0.0002321,6.965e-06,0.001086,49.3637
366,0.000260728,7.813219e-06,0.001220586,49.9088
367,0.000293075,8.767336e-06,0.001372729,50.4539
368,0.000329388,9.839844e-06,0.001543579,50.9989
369,0.000369914,1.104323e-05,0.001734286,51.544
370,0.0004149,1.239e-05,0.001946,52.0891
371,0.0004641587,1.388641e-05,0.002177777,51.8777
372,0.000518986,1.555728e-05,0.002435809,51.6664
373,0.000581854,1.744296e-05,0.002731953,51.455
374,0.0006552347,1.958375e-05,0.003078064,51.2437
375,0.0007416,2.202e-05,0.003486,51.0323
376,0.0008450296,2.483965e-05,0.003975227,50.8209
377,0.0009645268,2.804126e-05,0.00454088,50.6096
378,0.001094949,3.153104e-05,0.00515832,50.3982
379,0.001231154,3.521521e-05,0.005802907,50.1869
380,0.001368,3.9e-05,0.006450001,49.9755
381,0.00150205,4.28264e-05,0.007083216,50.4428
382,0.001642328,4.69146e-05,0.007745488,50.91
383,0.001802382,5.15896e-05,0.008501152,51.3773
384,0.001995757,5.71764e-05,0.009414544,51.8446
385,0.002236,6.4e-05,0.01054999,52.3118
386,0.002535385,7.234421e-05,0.0119658,52.7791
387,0.002892603,8.221224e-05,0.01365587,53.2464
388,0.003300829,9.350816e-05,0.01558805,53.7137
389,0.003753236,0.0001061361,0.01773015,54.1809
390,0.004243,0.00012,0.02005001,54.6482
391,0.004762389,0.000134984,0.02251136,57.4589
392,0.005330048,0.000151492,0.02520288,60.2695
393,0.005978712,0.000170208,0.02827972,63.0802
394,0.006741117,0.000191816,0.03189704,65.8909
395,0.00765,0.000217,0.03621,68.7015
396,0.008751373,0.0002469067,0.04143771,71.5122
397,0.01002888,0.00028124,0.04750372,74.3229
398,0.0114217,0.00031852,0.05411988,77.1336
399,0.01286901,0.0003572667,0.06099803,79.9442
400,0.01431,0.000396,0.06785001,82.7549
401,0.01570443,0.0004337147,0.07448632,83.628
402,0.01714744,0.000473024,0.08136156,84.5011
403,0.01878122,0.000517876,0.08915364,85.3742
404,0.02074801,0.0005722187,0.09854048,86.2473
405,0.02319,0.00064,0.1102,87.1204
406,0.02620736,0.00072456,0.1246133,87.9936
407,0.02978248,0.0008255,0.1417017,88.8667
408,0.03388092,0.00094116,0.1613035,89.7398
409,0.03846824,0.00106988,0.1832568,90.6129
410,0.04351,0.00121,0.2074,91.486
411,0.0489956,0.001362091,0.2336921,91.6806
412,0.0550226,0.001530752,0.2626114,91.8752
413,0.0617188,0.001720368,0.2947746,92.0697
414,0.069212,0.001935323,0.3307985,92.2643
415,0.07763,0.00218,0.3713,92.4589
416,0.08695811,0.0024548,0.4162091,92.6535
417,0.09717672,0.002764,0.4654642,92.8481
418,0.1084063,0.0031178,0.5196948,93.0426
419,0.1207672,0.0035264,0.5795303,93.2372
420,0.13438,0.004,0.6456,93.4318
421,0.1493582,0.00454624,0.7184838,92.7568
422,0.1653957,0.00515932,0.7967133,92.0819
423,0.1819831,0.00582928,0.8778459,91.4069
424,0.198611,0.00654616,0.959439,90.732
425,0.21477,0.0073,1.0390501,90.057
426,0.2301868,0.008086507,1.1153673,89.3821
427,0.2448797,0.00890872,1.1884971,88.7071
428,0.2587773,0.00976768,1.2581233,88.0322
429,0.2718079,0.01066443,1.3239296,87.3572
430,0.2839,0.0116,1.3856,86.6823
431,0.2949438,0.01257317,1.4426352,88.5006
432,0.3048965,0.01358272,1.4948035,90.3188
433,0.3137873,0.01462968,1.5421903,92.1371
434,0.3216454,0.01571509,1.5848807,93.9554
435,0.3285,0.01684,1.62296,95.7736
436,0.3343513,0.01800736,1.6564048,97.5919
437,0.3392101,0.01921448,1.6852959,99.4102
438,0.3431213,0.02045392,1.7098745,101.228
439,0.3461296,0.02171824,1.7303821,103.047
440,0.34828,0.023,1.74706,104.865
441,0.3495999,0.02429461,1.7600446,106.079
442,0.3501474,0.02561024,1.7696233,107.294
443,0.350013,0.02695857,1.7762637,108.508
444,0.349287,0.02835125,1.7804334,109.722
445,0.34806,0.0298,1.7826,110.936
446,0.3463733,0.03131083,1.7829682,112.151
447,0.3442624,0.03288368,1.7816998,113.365
448,0.3418088,0.03452112,1.7791982,114.579
449,0.3390941,0.03622571,1.7758671,115.794
450,0.3362,0.038,1.77211,117.008
451,0.3331977,0.03984667,1.7682589,117.088
452,0.3300411,0.041768,1.764039,117.169
453,0.3266357,0.043766,1.7589438,117.249
454,0.3228868,0.04584267,1.7524663,117.33
455,0.3187,0.048,1.7441,117.41
456,0.3140251,0.05024368,1.7335595,117.49
457,0.308884,0.05257304,1.7208581,117.571
458,0.3032904,0.05498056,1.7059369,117.651
459,0.2972579,0.05745872,1.6887372,117.732
460,0.2908,0.06,1.6692,117.812
461,0.2839701,0.06260197,1.6475287,117.517
462,0.2767214,0.06527752,1.6234127,117.222
463,0.2689178,0.06804208,1.5960223,116.927
464,0.2604227,0.07091109,1.564528,116.632
465,0.2511,0.0739,1.5281,116.336
466,0.2408475,0.077016,1.4861114,116.041
467,0.2298512,0.0802664,1.4395215,115.746
468,0.2184072,0.0836668,1.3898799,115.451
469,0.2068115,0.0872328,1.3387362,115.156
470,0.19536,0.09098,1.28764,114.861
471,0.1842136,0.09491755,1.2374223,114.967
472,0.1733273,0.09904584,1.1878243,115.073
473,0.1626881,0.1033674,1.1387611,115.18
474,0.1522833,0.1078846,1.090148,115.286
475,0.1421,0.1126,1.0419,115.392
476,0.1321786,0.117532,0.9941976,115.498
477,0.1225696,0.1226744,0.9473473,115.604
478,0.1132752,0.1279928,0.9014531,115.711
479,0.1042979,0.1334528,0.8566193,115.817
480,0.09564,0.13902,0.8129501,115.923
481,0.08729955,0.1446764,0.7705173,115.212
482,0.07930804,0.1504693,0.7294448,114.501
483,0.07171776,0.1564619,0.6899136,113.789
484,0.06458099,0.1627177,0.6521049,113.078
485,0.05795001,0.1693,0.6162,112.367
486,0.05186211,0.1762431,0.5823286,111.656
487,0.04628152,0.1835581,0.5504162,110.945
488,0.04115088,0.1912735,0.5203376,110.233
489,0.03641283,0.199418,0.4919673,109.522
490,0.03201,0.20802,0.46518,108.811
491,0.0279172,0.2171199,0.4399246,108.865
492,0.0241444,0.2267345,0.4161836,108.92
493,0.020687,0.2368571,0.3938822,108.974
494,0.0175404,0.2474812,0.3729459,109.028
495,0.0147,0.2586,0.3533,109.082
496,0.01216179,0.2701849,0.3348578,109.137
497,0.00991996,0.2822939,0.3175521,109.191
498,0.00796724,0.2950505,0.3013375,109.245
499,0.006296346,0.308578,0.2861686,109.3
500,0.0049,0.323,0.272,109.354
501,0.003777173,0.3384021,0.2588171,109.199
502,0.00294532,0.3546858,0.2464838,109.044
503,0.00242488,0.3716986,0.2347718,108.888
504,0.002236293,0.3892875,0.2234533,108.733
505,0.0024,0.4073,0.2123,108.578
506,0.00292552,0.4256299,0.2011692,108.423
507,0.00383656,0.4443096,0.1901196,108.268
508,0.00517484,0.4633944,0.1792254,108.112
509,0.00698208,0.4829395,0.1685608,107.957
510,0.0093,0.503,0.1582,107.802
511,0.01214949,0.5235693,0.1481383,107.501
512,0.01553588,0.544512,0.1383758,107.2
513,0.01947752,0.56569,0.1289942,106.898
514,0.02399277,0.5869653,0.1200751,106.597
515,0.0291,0.6082,0.1117,106.296
516,0.03481485,0.6293456,0.1039048,105.995
517,0.04112016,0.6503068,0.09666748,105.694
518,0.04798504,0.6708752,0.08998272,105.392
519,0.05537861,0.6908424,0.08384531,105.091
520,0.06327,0.71,0.07824999,104.79
521,0.07163501,0.7281852,0.07320899,105.08
522,0.08046224,0.7454636,0.06867816,105.37
523,0.08973996,0.7619694,0.06456784,105.66
524,0.09945645,0.7778368,0.06078835,105.95
525,0.1096,0.7932,0.05725001,106.239
526,0.1201674,0.8081104,0.05390435,106.529
527,0.1311145,0.8224962,0.05074664,106.819
528,0.1423679,0.8363068,0.04775276,107.109
529,0.1538542,0.8494916,0.04489859,107.399
530,0.1655,0.862,0.04216,107.689
531,0.1772571,0.8738108,0.03950728,107.361
532,0.18914,0.8849624,0.03693564,107.032
533,0.2011694,0.8954936,0.03445836,106.704
534,0.2133658,0.9054432,0.03208872,106.375
535,0.2257499,0.9148501,0.02984,106.047
536,0.2383209,0.9237348,0.02771181,105.719
537,0.2510668,0.9320924,0.02569444,105.39
538,0.2639922,0.9399226,0.02378716,105.062
539,0.2771017,0.9472252,0.02198925,104.733
540,0.2904,0.954,0.0203,104.405
541,0.3038912,0.9602561,0.01871805,104.369
542,0.3175726,0.9660074,0.01724036,104.333
543,0.3314384,0.9712606,0.01586364,104.297
544,0.3454828,0.9760225,0.01458461,104.261
545,0.3597,0.9803,0.0134,104.225
546,0.3740839,0.9840924,0.01230723,104.19
547,0.3886396,0.9874182,0.01130188,104.154
548,0.4033784,0.9903128,0.01037792,104.118
549,0.4183115,0.9928116,0.009529306,104.082
550,0.4334499,0.9949501,0.008749999,104.046
551,0.4487953,0.9967108,0.0080352,103.641
552,0.464336,0.9980983,0.0073816,103.237
553,0.480064,0.999112,0.0067854,102.832
554,0.4959713,0.9997482,0.0062428,102.428
555,0.5120501,1.0,0.005749999,102.023
556,0.5282959,0.9998567,0.0053036,101.618
557,0.5446916,0.9993046,0.0048998,101.214
558,0.5612094,0.9983255,0.0045342,100.809
559,0.5778215,0.9968987,0.0042024,100.405
560,0.5945,0.995,0.0039,100.0
561,0.6112209,0.9926005,0.0036232,99.6334
562,0.6279758,0.9897426,0.0033706,99.2668
563,0.6447602,0.9864444,0.0031414,98.9003
564,0.6615697,0.9827241,0.0029348,98.5337
565,0.6784,0.9786,0.002749999,98.1671
566,0.6952392,0.9740837,0.0025852,97.8005
567,0.7120586,0.9691712,0.0024386,97.4339
568,0.7288284,0.9638568,0.0023094,97.0674
569,0.7455188,0.9581349,0.0021968,96.7008
570,0.7621,0.952,0.0021,96.3342
571,0.7785432,0.9454504,0.002017733,96.2796
572,0.7948256,0.9384992,0.0019482,96.225
573,0.8109264,0.9311628,0.0018898,96.1703
574,0.8268248,0.9234576,0.001840933,96.1157
575,0.8425,0.9154,0.0018,96.0611
576,0.8579325,0.9070064,0.001766267,96.0065
577,0.8730816,0.8982772,0.0017378,95.9519
578,0.8878944,0.8892048,0.0017112,95.8972
579,0.9023181,0.8797816,0.001683067,95.8426
580,0.9163,0.87,0.001650001,95.788
581,0.9297995,0.8598613,0.001610133,95.0778
582,0.9427984,0.849392,0.0015644,94.3675
583,0.9552776,0.838622,0.0015136,93.6573
584,0.9672179,0.8275813,0.001458533,92.947
585,0.9786,0.8163,0.0014,92.2368
586,0.9893856,0.8047947,0.001336667,91.5266
587,0.9995488,0.793082,0.00127,90.8163
588,1.0090892,0.781192,0.001205,90.1061
589,1.0180064,0.7691547,0.001146667,89.3958
590,1.0263,0.757,0.0011,88.6856
591,1.0339827,0.7447541,0.0010688,88.8177
592,1.040986,0.7324224,0.0010494,88.9497
593,1.047188,0.7200036,0.0010356,89.0818
594,1.0524667,0.7074965,0.0010212,89.2138
595,1.0567,0.6949,0.001,89.3459
596,1.0597944,0.6822192,0.00096864,89.478
597,1.0617992,0.6694716,0.00092992,89.61
598,1.0628068,0.6566744,0.00088688,89.7421
599,1.0629096,0.6438448,0.00084256,89.8741
600,1.0622,0.631,0.0008,90.0062
601,1.0607352,0.6181555,0.00076096,89.9655
602,1.0584436,0.6053144,0.00072368,89.9248
603,1.0552244,0.5924756,0.00068592,89.8841
604,1.0509768,0.5796379,0.00064544,89.8434
605,1.0456,0.5668,0.0006,89.8026
606,1.0390369,0.5539611,0.0005478667,89.7619
607,1.0313608,0.5411372,0.0004916,89.7212
608,1.0226662,0.5283528,0.0004354,89.6805
609,1.0130477,0.5156323,0.0003834667,89.6398
610,1.0026,0.503,0.00034,89.5991
611,0.9913675,0.4904688,0.0003072533,89.4091
612,0.9793314,0.4780304,0.00028316,89.219
613,0.9664916,0.4656776,0.00026544,89.029
614,0.9528479,0.4534032,0.0002518133,88.8389
615,0.9384,0.4412,0.00024,88.6489
616,0.923194,0.42908,0.0002295467,88.4589
617,0.907244,0.417036,0.00022064,88.2688
618,0.890502,0.405032,0.00021196,88.0788
619,0.87292,0.393032,0.0002021867,87.8887
620,0.8544499,0.381,0.00019,87.6987
621,0.835084,0.3689184,0.0001742133,87.2577
622,0.814946,0.3568272,0.00015564,86.8167
623,0.794186,0.3447768,0.00013596,86.3757
624,0.772954,0.3328176,0.0001168533,85.9347
625,0.7514,0.321,0.0001,85.4936
626,0.7295836,0.3093381,8.613333e-05,85.0526
627,0.7075888,0.2978504,7.46e-05,84.6116
628,0.6856022,0.2865936,6.5e-05,84.1706
629,0.6638104,0.2756245,5.693333e-05,83.7296
630,0.6424,0.265,4.999999e-05,83.2886
631,0.6215149,0.2547632,4.416e-05,83.3297
632,0.6011138,0.2448896,3.948e-05,83.3707
633,0.5811052,0.2353344,3.572e-05,83.4118
634,0.5613977,0.2260528,3.264e-05,83.4528
635,0.5419,0.217,3e-05,83.4939
636,0.5225995,0.2081616,2.765333e-05,83.535
637,0.5035464,0.1995488,2.556e-05,83.576
638,0.4847436,0.1911552,2.364e-05,83.6171
639,0.4661939,0.1829744,2.181333e-05,83.6581
640,0.4479,0.175,2e-05,83.6992
641,0.4298613,0.1672235,1.813333e-05,83.332
642,0.412098,0.1596464,1.62e-05,82.9647
643,0.394644,0.1522776,1.42e-05,82.5975
644,0.3775333,0.1451259,1.213333e-05,82.2302
645,0.3608,0.1382,1e-05,81.863
646,0.3444563,0.1315003,7.733333e-06,81.4958
647,0.3285168,0.1250248,5.4e-06,81.1285
648,0.3130192,0.1187792,3.2e-06,80.7613
649,0.2980011,0.1127691,1.333333e-06,80.394
650,0.2835,0.107,0.0,80.0268
651,0.2695448,0.1014762,0.0,80.0456
652,0.2561184,0.09618864,0.0,80.0644
653,0.2431896,0.09112296,0.0,80.0831
654,0.2307272,0.08626485,0.0,80.1019
655,0.2187,0.0816,0.0,80.1207
656,0.2070971,0.07712064,0.0,80.1395
657,0.1959232,0.07282552,0.0,80.1583
658,0.1851708,0.06871008,0.0,80.177
659,0.1748323,0.06476976,0.0,80.1958
660,0.1649,0.061,0.0,80.2146
661,0.1553667,0.05739621,0.0,80.4209
662,0.14623,0.05395504,0.0,80.6272
663,0.13749,0.05067376,0.0,80.8336
664,0.1291467,0.04754965,0.0,81.0399
665,0.1212,0.04458,0.0,81.2462
666,0.1136397,0.04175872,0.0,81.4525
667,0.106465,0.03908496,0.0,81.6588
668,0.09969044,0.03656384,0.0,81.8652
669,0.09333061,0.03420048,0.0,82.0715
670,0.0874,0.032,0.0,82.2778
671,0.08190096,0.02996261,0.0,81.8784
672,0.07680428,0.02807664,0.0,81.4791
673,0.07207712,0.02632936,0.0,81.0797
674,0.06768664,0.02470805,0.0,80.6804
675,0.0636,0.0232,0.0,80.281
676,0.05980685,0.02180077,0.0,79.8816
677,0.05628216,0.02050112,0.0,79.4823
678,0.05297104,0.01928108,0.0,79.0829
679,0.04981861,0.01812069,0.0,78.6836
680,0.04677,0.017,0.0,78.2842
681,0.04378405,0.01590379,0.0,77.4279
682,0.04087536,0.01483718,0.0,76.5716
683,0.03807264,0.01381068,0.0,75.7153
684,0.03540461,0.01283478,0.0,74.859
685,0.0329,0.01192,0.0,74.0027
686,0.03056419,0.01106831,0.0,73.1465
687,0.02838056,0.01027339,0.0,72.2902
688,0.02634484,0.009533311,0.0,71.4339
689,0.02445275,0.008846157,0.0,70.5776
690,0.0227,0.00821,0.0,69.7213
691,0.02108429,0.007623781,0.0,69.9101
692,0.01959988,0.007085424,0.0,70.0989
693,0.01823732,0.006591476,0.0,70.2876
694,0.01698717,0.006138485,0.0,70.4764
695,0.01584,0.005723,0.0,70.6652
696,0.01479064,0.005343059,0.0,70.854
697,0.01383132,0.004995796,0.0,71.0428
698,0.01294868,0.004676404,0.0,71.2315
699,0.0121292,0.004380075,0.0,71.4203
700,0.01135916,0.004102,0.0,71.6091
701,0.01062935,0.003838453,0.0,71.8831
702,0.009938846,0.003589099,0.0,72.1571
703,0.009288422,0.003354219,0.0,72.4311
704,0.008678854,0.003134093,0.0,72.7051
705,0.008110916,0.002929,0.0,72.979
706,0.007582388,0.002738139,0.0,73.253
707,0.007088746,0.002559876,0.0,73.527
708,0.006627313,0.002393244,0.0,73.801
709,0.006195408,0.002237275,0.0,74.075
710,0.005790346,0.002091,0.0,74.349
711,0.005409826,0.001953587,0.0,73.0745
712,0.005052583,0.00182458,0.0,71.8
713,0.004717512,0.00170358,0.0,70.5255
714,0.004403507,0.001590187,0.0,69.251
715,0.004109457,0.001484,0.0,67.9765
716,0.003833913,0.001384496,0.0,66.702
717,0.003575748,0.001291268,0.0,65.4275
718,0.003334342,0.001204092,0.0,64.153
719,0.003109075,0.001122744,0.0,62.8785
720,0.002899327,0.001047,0.0,61.604
721,0.002704348,0.0009765896,0.0,62.4322
722,0.00252302,0.0009111088,0.0,63.2603
723,0.002354168,0.0008501332,0.0,64.0885
724,0.002196616,0.0007932384,0.0,64.9166
725,0.00204919,0.00074,0.0,65.7448
726,0.00191096,0.0006900827,0.0,66.573
727,0.001781438,0.00064331,0.0,67.4011
728,0.00166011,0.000599496,0.0,68.2293
729,0.001546459,0.0005584547,0.0,69.0574
730,0.001439971,0.00052,0.0,69.8856
731,0.001340042,0.0004839136,0.0,70.4057
732,0.001246275,0.0004500528,0.0,70.9259
733,0.001158471,0.0004183452,0.0,71.446
734,0.00107643,0.0003887184,0.0,71.9662
735,0.0009999493,0.0003611,0.0,72.4863
736,0.0009287358,0.0003353835,0.0,73.0064
737,0.0008624332,0.0003114404,0.0,73.5266
738,0.0008007503,0.0002891656,0.0,74.0467
739,0.000743396,0.0002684539,0.0,74.5669
740,0.0006900786,0.0002492,0.0,75.087
741,0.0006405156,0.0002313019,0.0,73.9376
742,0.0005945021,0.0002146856,0.0,72.7881
743,0.0005518646,0.0001992884,0.0,71.6387
744,0.000512429,0.0001850475,0.0,70.4893
745,0.0004760213,0.0001719,0.0,69.3398
746,0.0004424536,0.0001597781,0.0,68.1904
747,0.0004115117,0.0001486044,0.0,67.041
748,0.0003829814,0.0001383016,0.0,65.8916
749,0.0003566491,0.0001287925,0.0,64.7421
750,0.0003323011,0.00012,0.0,63.5927
751,0.0003097586,0.0001118595,0.0,61.8752
752,0.0002888871,0.0001043224,0.0,60.1578
753,0.0002695394,9.73356e-05,0.0,58.4403
754,0.0002515682,9.084587e-05,0.0,56.7229
755,0.0002348261,8.48e-05,0.0,55.0054
756,0.000219171,7.914667e-05,0.0,53.288
757,0.0002045258,7.3858e-05,0.0,51.5705
758,0.0001908405,6.8916e-05,0.0,49.8531
759,0.0001780654,6.430267e-05,0.0,48.1356
760,0.0001661505,6e-05,0.0,46.4182
761,0.0001550236,5.598187e-05,0.0,48.4569
762,0.0001446219,5.22256e-05,0.0,50.4956
763,0.0001349098,4.87184e-05,0.0,52.5344
764,0.000125852,4.544747e-05,0.0,54.5731
765,0.000117413,4.24e-05,0.0,56.6118
766,0.0001095515,3.956104e-05,0.0,58.6505
767,0.0001022245,3.691512e-05,0.0,60.6892
768,9.539445e-05,3.444868e-05,0.0,62.728
769,8.90239e-05,3.214816e-05,0.0,64.7667
770,8.307527e-05,3e-05,0.0,66.8054
771,7.751269e-05,2.799125e-05,0.0,66.4631
772,7.231304e-05,2.611356e-05,0.0,66.1209
773,6.745778e-05,2.436024e-05,0.0,65.7786
774,6.292844e-05,2.272461e-05,0.0,65.4364
775,5.870652e-05,2.12e-05,0.0,65.0941
776,5.477028e-05,1.977855e-05,0.0,64.7518
777,5.109918e-05,1.845285e-05,0.0,64.4096
778,4.767654e-05,1.721687e-05,0.0,64.0673
779,4.448567e-05,1.606459e-05,0.0,63.7251
780,4.150994e-05,1.499e-05,0.0,63.3828
781,3.873324e-05,1.398728e-05,0.0,63.4749
782,3.614203e-05,1.305155e-05,0.0,63.567
783,3.372352e-05,1.217818e-05,0.0,63.6592
784,3.146487e-05,1.136254e-05,0.0,63.7513
785,2.935326e-05,1.06e-05,0.0,63.8434
786,2.737573e-05,9.885877e-06,0.0,63.9355
787,2.552433e-05,9.217304e-06,0.0,64.0276
788,2.379376e-05,8.592362e-06,0.0,64.1198
789,2.21787e-05,8.009133e-06,0.0,64.2119
790,2.067383e-05,7.4657e-06,0.0,64.304
791,1.927226e-05,6.959567e-06,0.0,63.8188
792,1.79664e-05,6.487995e-06,0.0,63.3336
793,1.674991e-05,6.048699e-06,0.0,62.8484
794,1.561648e-05,5.639396e-06,0.0,62.3632
795,1.455977e-05,5.2578e-06,0.0,61.8779
796,1.357387e-05,4.901771e-06,0.0,61.3927
797,1.265436e-05,4.56972e-06,0.0,60.9075
798,1.179723e-05,4.260194e-06,0.0,60.4223
799,1.099844e-05,3.971739e-06,0.0,59.9371
800,1.025398e-05,3.7029e-06,0.0,59.4519
801,9.559646e-06,3.452163e-06,0.0,58.7026
802,8.912044e-06,3.218302e-06,0.0,57.9533
803,8.308358e-06,3.0003e-06,0.0,57.204
804,7.745769e-06,2.797139e-06,0.0,56.4547
805,7.221456e-06,2.6078e-06,0.0,55.7054
806,6.732475e-06,2.43122e-06,0.0,54.9562
807,6.276423e-06,2.266531e-06,0.0,54.2069
808,5.851304e-06,2.113013e-06,0.0,53.4576
809,5.455118e-06,1.969943e-06,0.0,52.7083
810,5.085868e-06,1.8366e-06,0.0,51.959
811,4.741466e-06,1.71223e-06,0.0,52.5072
812,4.420236e-06,1.596228e-06,0.0,53.0553
813,4.120783e-06,1.48809e-06,0.0,53.6035
814,3.841716e-06,1.387314e-06,0.0,54.1516
815,3.581652e-06,1.2934e-06,0.0,54.6998
816,3.339127e-06,1.20582e-06,0.0,55.248
817,3.112949e-06,1.124143e-06,0.0,55.7961
818,2.902121e-06,1.048009e-06,0.0,56.3443
819,2.705645e-06,9.770578e-07,0.0,56.8924
820,2.522525e-06,9.1093e-07,0.0,57.4406
821,2.351726e-06,8.492513e-07,0.0,57.7278
822,2.192415e-06,7.917212e-07,0.0,58.015
823,2.043902e-06,7.380904e-07,0.0,58.3022
824,1.905497e-06,6.881098e-07,0.0,58.5894
825,1.776509e-06,6.4153e-07,0.0,58.8765
826,1.656215e-06,5.980895e-07,0.0,59.1637
827,1.544022e-06,5.575746e-07,0.0,59.4509
828,1.43944e-06,5.19808e-07,0.0,59.7381
829,1.341977e-06,4.846123e-07,0.0,60.0253
830,1.251141e-06,4.5181e-07,0.0,60.3125
